iter	Passed	Remaining
1486	35044	12089
1487	35066	12065
1488	35089	12042
1489	35113	12018
1490	35134	11994
1491	35155	11969
1492	35178	11946
1493	35198	11921
1494	35222	11897
1495	35243	11873
1496	35262	11848
1497	35285	11824
1498	35305	11799
1499	35328	11776
1500	35347	11751
1501	35370	11727
1502	35395	11704
1503	35414	11679
1504	35434	11654
1505	35454	11629
1506	35473	11604
1507	35492	11579
1508	35511	11554
1509	35531	11530
1510	35550	11505
1511	35574	11481
1512	35593	11456
1513	35612	11431
1514	35636	11408
1515	35656	11383
1516	35675	11358
1517	35698	11335
1518	35721	11311
1519	35741	11286
1520	35760	11261
1521	35780	11237
1522	35803	11213
1523	35824	11189
1524	35847	11165
1525	35867	11140
1526	35888	11116
1527	35907	11091
1528	35931	11068
1529	35954	11044
1530	35974	11020
1531	35992	10995
1532	36012	10970
1533	36032	10945
1534	36055	10922
1535	36075	10897
1536	36095	10873
1537	36114	10848
1538	36135	10824
1539	36157	10800
1540	36176	10775
1541	36198	10751
1542	36219	10727
1543	36239	10702
1544	36259	10678
1545	36282	10654
1546	36302	10630
1547	36323	10605
1548	36343	10581
1549	36363	10557
1550	36383	10532
1551	36403	10508
1552	36423	10483
1553	36441	10458
1554	36459	10433
1555	36479	10409
1556	36502	10385
1557	36523	10361
1558	36547	10338
1559	36568	10314
1560	36590	10290
1561	36612	10266
1562	36635	10242
1563	36657	10219
1564	36679	10195
1565	36701	10171
1566	36721	10147
1567	36742	10122
1568	36765	10099
1569	36783	10074
1570	36801	10049
1571	36820	10024
1572	36838	10000
1573	36858	9975
1574	36876	9950
1575	36896	9926
1576	36915	9901
1577	36933	9877
1578	36952	9852
1579	36972	9828
1580	36991	9803
1581	37011	9779
1582	37029	9754
1583	37053	9731
1584	37073	9707
1585	37095	9683
1586	37118	9659
1587	37143	9636
1588	37166	9613
1589	37189	9589
1590	37216	9567
1591	37240	9543
1592	37262	9520
1593	37283	9496
1594	37302	9471
1595	37320	9447
1596	37338	9422
1597	37361	9398
1598	37381	9374
1599	37400	9350
1600	37425	9327
1601	37448	9303
1602	37474	9281
1603	37495	9257
1604	37523	9234
1605	37548	9211
1606	37574	9188
1607	37595	9165
1608	37615	9140
1609	37636	9116
1610	37655	9092
1611	37680	9069
1612	37701	9045
1613	37726	9022
1614	37747	8998
1615	37771	8975
1616	37791	8951
1617	37810	8926
1618	37828	8902
1619	37849	8878
1620	37868	8854
1621	37888	8829
1622	37906	8805
1623	37925	8780
1624	37944	8756
1625	37962	8731
1626	37980	8707
1627	37999	8682
1628	38017	8658
1629	38036	8634
1630	38055	8609
1631	38078	8586
1632	38100	8562
1633	38119	8538
1634	38142	8515
1635	38164	8491
1636	38186	8467
1637	38207	8443
1638	38232	8420
1639	38254	8397
1640	38275	8373
1641	38293	8348
1642	38313	8324
1643	38332	8300
1644	38353	8276
1645	38375	8253
1646	38395	8229
1647	38414	8204
1648	38432	8180
1649	38452	8156
1650	38471	8132
1651	38490	8108
1652	38513	8084
1653	38536	8061
1654	38556	8037
1655	38575	8013
1656	38598	7989
1657	38617	7965
1658	38641	7942
1659	38661	7918
1660	38687	7895
1661	38710	7872
